"Department","TMTitle","OldPCID","OldModel","OldAssetTag","OldSrvcTag","NewPCID","NewModel","NewSrvcTag","NewAssetTag","InService","Comments","Pings","Received"
"IT","SPORTS CONNECTION","ZIT5983","OptiPlex 990","1015983","D60HTR1","ZIT0444","9020","J1JTQ22","1010444","12/29/2014","","","J0MRR22"
"IT","SPORTS CONNECTION","ZIT5985","OptiPlex 990","1005985","D60DTR1","ZIT0441","9020","J1TTR22","1010441","12/29/2014","","","J0MSR22"
"IT","SPORTS CONNECTION","ZIT5986","OptiPlex 990","1005986","D60FTR1","ZIT0246","9020","D6LRP22","1010246","12/29/2014","","","J0MWQ22"
"IT","SPORTS CONNECTION","ZIT5987","OptiPlex 990","1005987","913YVR1","ZIT0245","9020","GMSJP22","1010245","12/29/2014","","","J0NPLN1"
"IT","SPORTS CONNECTION","ZIT5988","OptiPlex 990","1005988","9140WR1","ZIT0446","9020","J3DSR22","1010446","12/29/2014","","","J0NQLN1"
"IT","SPORTS CONNECTION","ZIT5989","OptiPlex 990","1005989","9130WR1","ZEX0442","9020","J1JSR22","1010442","12/29/2014","","","J0NQQ22"
"HT","RESERVATIONS SUPERVISOR","ZIT6005","OptiPlex 990","","DL03XR1","","9020","GNHQ322","1010347","12/08/2014","","","J0NRLN1"
"N/A","NO HOST FOUND","ZIT6006","OptiPlex 990","","DL01XR1","","","","","","NHF","","J0NTR22"
"IT","NETWORKING - THOAG","ZIT6017","OptiPlex 990","1006017","6WP2JS1","","9020","J14WQ22","1010419","","","","J0NYQ22"
"NA","NO HOST FOUND","ZIT6019","OptiPlex 990","","1R0LJS1","","","","","","NHF","","J0PQQ22"
"IT","SYSTEMS DEVELOPER -PRAWAT (IT IDF)","ZIT6020","OptiPlex 990","1006020","1R0NJS1","ZEX0374","9020","J0JTQ22","1010374","01/18/2015","Shut Down 1/8","","J0PRQ22"
"SAS","CFINNE1","ZIT6028","OptiPlex 990","1006028","J16KYR1","","9020","J1HRR22","1010373","","DO NOT REMOVE","","J0PSR22"
"N/A","NO HOST FOUND","ZIT6029","OptiPlex 990","","F7YLHS1","","","","","","NHF","","J14WQ22"
"N/A","NO HOST FOUND","ZIT6041","OptiPlex 990","","306WJS1","","","","","","NHF","","J14XQ22"
"IT","QA - BRIAN ALBERT","ZIT6048","OptiPlex 990","1016048","4DYVKS1","ZIT0468","9020","J1J4R22","1010468","01/07/2015","","","J14YQ22"
"N/A","NO HOST FOUND","ZIT6051","OptiPlex 990","","F59SKS1","","","","","","NHF","","J15QLN1"
"COMP","VP OF COMPLIANCE PAUL CAMACHO","ZIT6114","OptiPlex 990","1006114","85WY5V1","ZEX0394","9020","J16RLN1","1010394","01/07/2015","","","J15RQ22"
"IT","CYBER SEC - JFOSTER","ZIT6120","OptiPlex 990","1003120","GZRJ7V1","ZEX0371","9020","J16TR22","1010371","01/06/2015","","","J15VQ22"
"IT","SNARES","ZIT6126","OptiPlex 990","1006126","GZPP7V1","ZEX0370","9020","J0MTR22","1010370","01/06/2015","","","J15YQ22"
"IT","SPORTS CONNECTION","ZIT6127","OptiPlex 990","1006127","GZPN7V1","ZIT0279","9020","GMSJP22","1010279","01/22/2015","","","J160R22"
"IT","SPORTS CONNECTION","ZIT6128","OptiPlex 990","1006128","GZSK7V1","ZIT0379","9020","J1HTR22","1010379","01/22/2015","","","J166R22"
"IT","ISERIES - KZOBRIST","ZIT6174","OptiPlex 990","1006174","4DYRKS1","ZIT6174","9020","J3DSQ22","1010357","01/16/2015","Same PC Name","","J16RLN1"
"IT","PROJECT MANAGER - HUNGERFORD","ZIT6856","OptiPlex 990","1006856","2QNV3V1","ZIT0410","9020","J0MRR22","1010410","01/07/2015","","","J16SQ22"
"N/A","NO HOST FOUND","ZIT6867","OptiPlex 990","","8P80WR1","","","","","","NHF","","J16SR22"
"IT","QA - PRATIK","ZITASRIVA","OptiPlex 990","1006021","1R2JJS1","ZITASRIVA","9020","J16SR22","1010409","01/12/2015","","","J16VR22"
"IT","SERVER MANAGER","ZITCWURM","OptiPlex 990","1008016","1R1JJS1","ZIT0370","9020","J0MTR22","1010370","01/14/2015","","","J16XQ22"
"IT","IHARRIS/JHETRI","ZITNTOBIN","OptiPlex 990","1006046","4DYTKS1","ZEX0369","9020","J16VQ22","1010369","01/18/2015","","","J175R22"
"N/A","NO HOST FOUND","ZITSCKIOSKDEMO2","OptiPlex 990","","2QQ14V1","","","","","","NHF","","J1HRLN1"
"IT","QA ANALYST - ??? Port 11","ZITSRAGHU","OptiPlex 990","1006852","8P71WR1","ZEX0386","9020","J2DYQ22","1010386","01/18/2015","","","J1HTQ22"
"RM","Risk Management Training PC","ZITTESTING2","OptiPlex 990","1006078","F85VPS1","ZITTESTING2","9020","J37TQ22","1010388","01/16/2015","Same PC name","","J1JSQ22"
"LGL","LEGAL ADMIN - KDENO","ZLG5958","OptiPlex 990","1005958","6MWVZQ1","ZEX0449","9020","J0H6R22","1010449","01/05/2015","","","J1JSR22"
"MKT","ENT MANAGER - MREEVES","ZMK6040","OptiPlex 990","1006040","307QJS1","ZEX0416","9020","J0MSQ22","1010416","01/05/2015","","","J1KSQ22"
"OPS","OPERATIONS ANALYST - JKLEIN","ZMK6044","OptiPlex 990","1006044","4DXVKS1","ZEX0393","9020","J1HRLN1","1010393","01/07/2015","","","J1KTR22"
"MKT","VP OF OPERATION MKT - GINA S. ","ZMK6050","OptiPlex 990","1006050","F58TKS1","ZEX0389","9020","J0J6R22","1010389","01/08/2015","","","J1KVQ22"
"FB","VP OF FNB","ZMK6056","OptiPlex 990","1006056","F58WKS1","ZEX0249","9020","D6FPP22","1010249","12/08/2014","","","J22QLN1"
"MKT","MKT TEMP - GINA FULLER","ZMK6079","OptiPlex 990","1006079","F85MPS1","ZEX0464","9020","J2DPLN1","1010464","01/02/2015","","","J236R22"
"","AT RR - JULIE CANE","ZMK6098","OptiPlex 990","","F85LPS1","","","","","","AT RR","","J23ZQ22"
"AD","ADVERTISING MANAGER - TOWE","ZNT5947","OptiPlex 990","1005947","98XKXQ1","ZEX0265","9020","CKPNP22","1010265","12/28/2014","","","J245R22"
"DNC","EXEC ADMIN","ZPU5953","OptiPlex 990","1005953","70RPZQ1","ZEX0208","9020","D5Q0Q22","1010208","11/24/2014","","","J2DPLN1"
"N/A","NO HOST FOUND","ZPU5973","OptiPlex 990","","C76RSR1","","","","","","NHF","","J2DVQ22"
"PU","PURCHASING AGENT","ZPU6034","OptiPlex 990","1006034","306RJS1","ZEX0311","9020","CT2VP22","1010311","12/15/2014","","","J2DXQ22"
"PU","PURCHASING AGENT","ZPU6045","OptiPlex 990","1006045","4DYSKS1","ZEX0317","9020","CTDPP22","1010317","12/15/2014","","","J2F4R22"
"PU","PURCHASING AGENT","ZPU6084","OptiPlex 990","1006084","2QPV3V1","ZEX0334","9020","8PHQ322","1010334","12/15/2014","","","J2GRQ22"
"FB","Donkonics","ZPU6085","OptiPlex 990","1006085","F86LPS1","ZEX0350","9020","6RHQ322","1010350","01/12/2015","","","J2GRR22"
"PU","PURCHASING AGENT","ZPU6086","OptiPlex 990","1006086","2QQW3V1","ZEX0326","9020","D5NSP22","1010326","12/15/2014","","","J2QZQ22"
"PU","PURCHASING AGENT","ZPU6087","OptiPlex 990","1006087","F86NPS1","ZEX0329","9020","CTKZP22","1010329","12/15/2014","","","J2R3R22"
"PU","PURCHASING AGENT","ZPU6088","OptiPlex 990","1006088","F85RPS1","ZEX0327","9020","CTHZP22","1010327","12/15/2014","","","J2SQLN1"
"PU","PURCHASING AGENT","ZPU6091","OptiPlex 990","1006091","75945V1","ZEX0349","9020","HGHQ322","1010349","12/15/2014","","","J2SSR22"
"PU","PURCHASING AGENT","ZPU6092","OptiPlex 990","1006092","75825V1","ZEX0314","9020","CSFRP22","1010314","12/15/2014","","","J37TQ22"
"PU","PURCHASING AGENT","ZPU6109","OptiPlex 990","1006109","75855V1","ZEX0258","9020","D622Q22","1010258","12/15/2014","","","J3DXQ22"
"PU","PU PROJECT MANAGER","ZPU6121","OptiPlex 990","1006212","GZQJ7V1","ZEX0331","9020","CTHNP22","1010331","12/15/2014","","","J7XM322"
"HR","CORPORATE RECRUITER","ZPU6168","OptiPlex 990","1006168","F84VPS1","ZEX0300","9020","CGPTP22","1010300","12/08/2014","","","J8XM322"
"HR","HR TRAINING MANAGER - BMOUNS","ZRC6023","OptiPlex 990","1006023","1R1LJS1","","","","","","NHF","","JFHQ322"
"AC","BILL MCKEE","ZRC6024","OptiPlex 990","1006024","1R2NJS1","ZEX0470","9020","J0JRNL1","1010470","12/31/2014","","","BBXM322"
"N/A","NO HOST FOUND","ZRC6026","OptiPlex 990","","1R1NJS1","","","","","","NHF","","CJ7ZP22"
"SL","SLOTS - EMCNEIL","ZSL6035","OptiPlex 990","1006035","306TJS1","ZEX0391","9020","J2QZQ22","1010391","01/08/2015","","","CKDZP22"
"","10.2. TIMES OUT","ZST4356","OptiPlex 990","","1PF9JS1","","","","","","TIMES OUT","","CTDPP22"
"","WG HR 10.40. - DRUIZ","ZST4366","OptiPlex 990","","9FL0MS1","WWHR1563","9020","CHY0Q22","1011563","12/31/2014","AT WG HR","","CTMPP22"
"???","JEFELIX 10.2.254.13","ZST4367","OptiPlex 990","","9FL1MS1","","","","","","???","","D5SPP22"
"AC","ICG SCAN STATION","ZAC1834","OptiPlex GX620","1001834","HT2H0B1","","9020","","","","Replaced With ZEX6257","","D68QP22"
"N/A","NO HOST FOUND","ZAC1853","OptiPlex GX620","","5WC33B1","","","","","","NHF","","GN6JP22"
"PR","ASTEPH - DNS ISSUE","ZAC1972","OptiPlex GX620","","4W463B1","","","","","","DNS Issue","","HGHQ322"
"","10.12.17.260-L.HELLO","ZCC3970","OptiPlex GX620","","GNFTY81","ZCC7619","9020","9DTFPY1","1007619","01/15/2015","AT RIM WH","","HKHQ322"
"AC","DIR OF FINANCIAL REPORTING - WEAR","ZEX3049","OptiPlex GX620","1003049","5LKH9C1","ZEX7187","9020","7501L02","1007187","11/08/2014","","","J0HPLN1"
"IT","APPLICATION SUPPORT MANAGER - PHELPS","ZEX3483","OptiPlex GX620","1003483","GLKH9C1","ZIT0425","9020","J22QLN1","1010425","12/28/2014","","","J0HWQ22"
"HR","CORP DINING ROOM CHEF","ZFB3469","OptiPlex GX620","1003469","CNKH9C1","ZEX0233","9020","GK5GP22","1010233","12/19/2014","","","J0JRR22"
"IA","INTERNAL AUDIT - TCHU","ZIA3076","OptiPlex GX620","1003076","1NKH9C1","ZEX0380","9020","J1HVQ22","1010380","01/15/2015","","","J15WQ22"
"N/A","NO HOST FOUND","ZIT1893","OptiPlex GX620","","478MZ91","","","","","","NHF","","J1HSQ22"
"N/A","NO HOST FOUND","ZIT2106","OptiPlex GX620","","1M94W91","","","","","","NHF","","J1JVQ22"
"N/A","10.40.109.69 - TIMES OUT","ZIT5730","OptiPlex GX620","","5KKCBB1","","","","","","AT WG","","J1TZQ22"
"N/A","NO HOST FOUND","ZITL2B1","OptiPlex GX620","","FR0L2B1","","","","","","NHF","","J3DSR22"
"IT","SOLUTION CENTER","ZITSCNETBOTZ","OptiPlex GX620","","BW71X81","SCNETBOTZ2","9020","J2DVQ22","1010407","12/29/2014","","",""
"IT","SOLUTION CENTER","ZITSCSPORTSC","OptiPlex GX620","","7NFTY81","SCSPORTSSC2","9020","J0PRQ22","1010405","12/29/2014","","",""
"AD","PRODUCTION MANAGER","ZMK3999","OptiPlex GX620","1003999","DPKH9C1","ZEX0262","9020","CSQPP22","1010262","12/08/2014","","",""
"PU","PURCHASING AGENT","ZPU1686","OptiPlex GX620","1001686","B8SCK91","ZEX0323","9020","CSQTP22","1010323","12/15/2014","","",""
"PU","PURCHASING AGENT","ZPU3476","OptiPlex GX620","1003476","9PKH9C1","ZEX0314","9020","CSFRP22","1010314","12/15/2014","","",""
"RC","COMPLIANCE ANALYST","ZRC3490","OptiPlex GX620","1003490","8WC33B1","ZEX0414","9020","J16SQ22","1010414","12/30/2014","","",""
"N/A","10.12.17 - TIMES OUT","ZTR1145","OptiPlex GX620","","FTBHBB1","","","","","","AT GVR","",""
"N/A","10.12.17 - TIMES OUT","ZTR1255","OptiPlex GX620","","3FJ1Z81","","","","","","AT GVR","",""
"N/A","10.12.17 - TIMES OUT","ZTR1475","OptiPlex GX620","","9N1MJ91","","","","","","AT GVR","",""
